Rank,Feature_Name,Reach,Impact,Confidence,Effort_PM,RICE_Score,Priority_Tier,Primary_Justification
1,Day-by-Day Visual SOP Task Checklist,800,3.0,1.0,2.0,1200.0,P0 (Must Have),Solves 56.5% training barrier; prevents crop loss via daily bite-sized tasks.
2,Voice-Guided Discovery & Dynamic ROI Estimator,870,2.0,1.0,1.5,1160.0,P0 (Must Have),Translates 87.0% latent intent into action; proves net profit transparently.
3,1-Click Certified Starter Kit (COD),750,3.0,0.8,2.0,900.0,P0 (Must Have),Overcomes 29.3% capital fear with <Rs 3500 certified bundle delivery.
4,Pre-Harvest Local B2B Buyer Matchmaking,600,3.0,0.8,2.0,720.0,P0 (Must Have),Addresses 21.7% market support demand; guarantees harvest cash off-take.
5,100% Vernacular Voice Navigation (Hindi/Malvi),1000,1.5,1.0,2.5,600.0,P0 (Must Have),Eliminates friction for 38.0% illiterate farmer cohort; universal base.
6,Hyperlocal Peer Video Proof Feed,700,1.0,0.8,1.5,373.3,P1 (Should Have),Replaces non-existent govt aid (98.9% none) with high-trust neighbor proof.
7,Automated Weather & Heat Stress Alerts,600,1.0,0.8,1.5,320.0,P1 (Should Have),Prevents crop heat stress by overriding daily misting tasks during heatwaves.
8,Photo Contamination Scanner (Agronomist SOS),350,2.0,0.8,3.0,186.7,P1 (Should Have),Protects first-time crops from mold; async expert callback within 3 hours.
9,Micro-Financing / Pay-After-Harvest Split,400,2.0,0.5,4.0,100.0,P2 (Could Have),Unlocks extreme marginal farmers; deferred to Phase 3 due to NBFC credit risk.
10,Multi-Mandi Real-Time Arbitrage Tracker,200,1.0,0.8,2.5,64.0,P2 (Could Have),Targets 20.7% semi-medium tier (Virendra); secondary to core smallholder loop.
